,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,2022-04-10 19:09:54,38.5167,-28.7,55.8,71,40,28.77,scattered clouds
1,Saint-Philippe,RE,2022-04-10 19:09:54,-21.3585,55.7679,78.39,83,79,13.31,light rain
2,Barrow,US,2022-04-10 19:09:55,71.2906,-156.7887,-5.78,77,100,12.66,overcast clouds
3,Saint-Pierre,RE,2022-04-10 19:09:55,-21.3393,55.4781,78.48,82,75,21.85,broken clouds
4,Bluff,NZ,2022-04-10 19:09:55,-46.6,168.3333,47.44,86,6,13.29,clear sky
5,Kruisfontein,ZA,2022-04-10 19:09:56,-34.0033,24.7314,65.88,90,27,6.53,scattered clouds
6,Grand Gaube,MU,2022-04-10 19:09:56,-20.0064,57.6608,77.4,87,17,3.0,few clouds
7,Alexandria,EG,2022-04-10 19:09:56,31.2156,29.9553,63.37,74,0,7.96,clear sky
8,Butaritari,KI,2022-04-10 19:09:57,3.0707,172.7902,80.49,76,98,8.72,light rain
9,Albany,US,2022-04-10 19:09:53,42.6001,-73.9662,45.91,59,99,14.5,overcast clouds
10,Ust-Kulom,RU,2022-04-10 19:09:57,61.6864,53.6902,39.22,99,100,7.52,overcast clouds
11,New Norfolk,AU,2022-04-10 19:05:38,-42.7826,147.0587,53.65,51,100,1.99,overcast clouds
12,Chuy,UY,2022-04-10 19:05:13,-33.6971,-53.4616,74.03,69,41,15.3,scattered clouds
13,Avarua,CK,2022-04-10 19:04:58,-21.2078,-159.775,82.45,83,40,5.75,scattered clouds
14,Arrifes,PT,2022-04-10 19:07:31,37.7667,-25.7,57.45,55,20,21.85,few clouds
15,Sinjar,IQ,2022-04-10 19:09:58,36.3209,41.8754,66.92,33,68,6.26,broken clouds
16,Lincoln,US,2022-04-10 19:07:43,40.8,-96.667,67.89,33,0,19.57,clear sky
17,Ushuaia,AR,2022-04-10 19:06:22,-54.8,-68.3,46.06,57,40,2.3,scattered clouds
18,Gravdal,NO,2022-04-10 19:09:58,68.1214,13.5031,37.63,68,83,11.56,broken clouds
19,Vaini,TO,2022-04-10 19:09:59,-21.2,-175.2,77.16,94,40,6.91,scattered clouds
20,Merauke,ID,2022-04-10 19:09:59,-8.4667,140.3333,78.04,89,93,5.73,overcast clouds
21,Carutapera,BR,2022-04-10 19:09:59,-1.195,-46.02,78.1,87,100,4.05,overcast clouds
22,Kodiak,US,2022-04-10 19:10:00,57.79,-152.4072,38.71,35,0,16.11,clear sky
23,Severo-Kurilsk,RU,2022-04-10 19:10:00,50.6789,156.125,28.87,87,99,16.17,light snow
24,Faanui,PF,2022-04-10 19:10:00,-16.4833,-151.75,82.62,72,6,16.31,clear sky
25,Rikitea,PF,2022-04-10 19:10:01,-23.1203,-134.9692,78.85,75,0,17.58,light rain
26,Port Keats,AU,2022-04-10 19:10:01,-14.25,129.55,75.49,74,11,3.22,few clouds
27,Bredasdorp,ZA,2022-04-10 19:10:01,-34.5322,20.0403,65.07,86,0,13.11,clear sky
28,Adrian,US,2022-04-10 19:10:02,41.8975,-84.0372,57.42,43,0,5.75,clear sky
29,Katsuura,JP,2022-04-10 19:10:02,35.1333,140.3,61.52,90,100,12.68,overcast clouds
30,Atuona,PF,2022-04-10 19:10:03,-9.8,-139.0333,78.94,76,15,16.49,few clouds
31,Punta Arenas,CL,2022-04-10 19:10:03,-53.15,-70.9167,50.11,50,0,12.66,clear sky
32,Opuwo,NA,2022-04-10 19:10:03,-18.0607,13.84,72.59,36,2,3.62,clear sky
33,Yarmouth,US,2022-04-10 19:10:04,41.7057,-70.2286,57.61,55,100,10.36,overcast clouds
34,Ahuimanu,US,2022-04-10 19:10:04,21.4447,-157.8378,78.51,69,75,14.97,broken clouds
35,East London,ZA,2022-04-10 19:05:35,-33.0153,27.9116,65.84,91,100,18.28,moderate rain
36,Georgetown,MY,2022-04-10 19:05:30,5.4112,100.3354,80.53,83,20,0.0,few clouds
37,Hilo,US,2022-04-10 19:10:04,19.7297,-155.09,74.12,89,100,7.0,light rain
38,Najran,SA,2022-04-10 19:10:05,17.4924,44.1277,75.99,19,0,5.41,clear sky
39,Hobart,AU,2022-04-10 19:10:05,-42.8794,147.3294,54.01,63,100,4.61,overcast clouds
40,Fremont,US,2022-04-10 19:05:30,37.5483,-121.9886,74.1,34,0,17.27,clear sky
41,Arraial Do Cabo,BR,2022-04-10 19:10:05,-22.9661,-42.0278,82.26,69,40,12.66,scattered clouds
42,Zapolyarnyy,RU,2022-04-10 19:10:06,69.4154,30.8136,33.08,98,100,26.13,snow
43,Kapaa,US,2022-04-10 19:10:06,22.0752,-159.319,78.78,90,100,8.05,overcast clouds
44,Isangel,VU,2022-04-10 19:10:06,-19.55,169.2667,78.91,82,53,7.63,broken clouds
45,Stepnyak,KZ,2022-04-10 19:10:07,52.8339,70.7803,37.22,61,100,12.48,overcast clouds
46,Norman Wells,CA,2022-04-10 19:10:07,65.282,-126.8329,15.48,78,100,10.85,overcast clouds
47,Millinocket,US,2022-04-10 19:09:44,45.6573,-68.7098,46.51,61,100,12.66,overcast clouds
48,Sao Joao Do Piaui,BR,2022-04-10 19:11:07,-8.3581,-42.2467,93.42,38,83,4.32,broken clouds
49,Seoul,KR,2022-04-10 19:09:36,37.5683,126.9778,54.84,59,0,1.97,clear sky
50,Bethel,US,2022-04-10 19:11:08,41.3712,-73.414,48.97,55,100,10.36,overcast clouds
51,Hermanus,ZA,2022-04-10 19:11:08,-34.4187,19.2345,68.81,81,3,9.31,clear sky
52,Kaili,ID,2022-04-10 19:11:09,-3.4626,120.2147,64.81,86,46,4.0,scattered clouds
53,Hasaki,JP,2022-04-10 19:11:09,35.7333,140.8333,52.2,87,81,12.64,broken clouds
54,Ituango,CO,2022-04-10 19:11:09,7.1712,-75.764,71.56,84,100,2.84,overcast clouds
55,Saldanha,ZA,2022-04-10 19:11:10,-33.0117,17.9442,65.14,66,0,8.25,clear sky
56,Talara,PE,2022-04-10 19:11:10,-4.5772,-81.2719,75.16,73,68,19.39,broken clouds
57,Clyde River,CA,2022-04-10 19:11:10,70.4692,-68.5914,7.61,87,99,4.79,overcast clouds
58,Soe,ID,2022-04-10 19:11:10,-9.8607,124.284,63.1,87,11,3.42,few clouds
59,Tuktoyaktuk,CA,2022-04-10 19:11:11,69.4541,-133.0374,0.86,86,98,13.13,overcast clouds
60,Rafaela,AR,2022-04-10 19:11:11,-31.2503,-61.4867,77.0,54,84,3.0,broken clouds
61,Zavodskoy,RU,2022-04-10 19:11:11,43.4597,132.2922,38.79,93,100,0.0,mist
62,Port Hardy,CA,2022-04-10 19:11:12,50.6996,-127.4199,39.74,68,41,4.74,scattered clouds
63,Beringovskiy,RU,2022-04-10 19:07:16,63.05,179.3167,25.92,96,100,11.03,overcast clouds
64,Bahia Honda,CU,2022-04-10 19:11:12,22.9036,-83.1592,75.83,47,79,14.9,broken clouds
65,Port Alfred,ZA,2022-04-10 19:11:13,-33.5906,26.891,66.18,94,100,7.0,overcast clouds
66,Port Elizabeth,ZA,2022-04-10 19:11:13,-33.918,25.5701,68.09,96,100,12.66,overcast clouds
67,Camana,PE,2022-04-10 19:11:13,-16.6228,-72.7111,71.92,69,21,10.33,few clouds
68,Araguari,BR,2022-04-10 19:11:13,-18.6472,-48.1872,81.19,59,91,1.57,overcast clouds
69,Kobryn,BY,2022-04-10 19:11:14,52.2138,24.3564,36.48,79,13,7.7,few clouds
70,Price,US,2022-04-10 19:11:02,39.5994,-110.8107,47.12,12,0,5.75,clear sky
71,Busselton,AU,2022-04-10 19:11:14,-33.65,115.3333,53.01,84,41,5.1,light rain
72,Kaitangata,NZ,2022-04-10 19:11:14,-46.2817,169.8464,43.74,95,22,5.7,few clouds
73,Muros,ES,2022-04-10 19:06:31,42.7762,-9.0603,60.1,79,78,13.89,broken clouds
74,Dikson,RU,2022-04-10 19:11:15,73.5069,80.5464,-5.8,100,100,3.36,overcast clouds
75,Tiksi,RU,2022-04-10 19:11:15,71.6872,128.8694,-15.38,100,100,1.68,overcast clouds
76,Alekseyevsk,RU,2022-04-10 19:11:16,57.8406,108.3492,22.86,98,100,1.7,overcast clouds
77,Mar Del Plata,AR,2022-04-10 19:09:38,-38.0023,-57.5575,71.1,97,100,11.99,light rain
78,Porbandar,IN,2022-04-10 19:11:16,21.6422,69.6093,80.96,75,12,7.78,few clouds
79,Juneau,US,2022-04-10 19:11:16,58.3019,-134.4197,44.6,51,20,11.5,few clouds
80,Puerto Ayora,EC,2022-04-10 19:11:17,-0.7393,-90.3518,84.16,86,100,7.0,overcast clouds
81,Xam Nua,LA,2022-04-10 19:11:17,20.4197,104.0439,63.03,89,32,2.17,scattered clouds
82,Khatanga,RU,2022-04-10 19:11:17,71.9667,102.5,0.75,98,98,0.78,overcast clouds
83,Vezirkopru,TR,2022-04-10 19:11:18,41.1436,35.4547,54.09,65,16,3.98,few clouds
84,Lulea,SE,2022-04-10 19:11:18,65.5842,22.1547,32.07,86,100,4.61,overcast clouds
85,Kavaratti,IN,2022-04-10 19:11:18,10.5669,72.642,83.8,76,94,10.33,overcast clouds
86,Jamestown,US,2022-04-10 19:07:35,42.097,-79.2353,38.79,47,98,5.01,overcast clouds
87,Dakar,SN,2022-04-10 19:11:19,14.6937,-17.4441,77.88,83,10,17.63,clear sky
88,Feldkirchen,DE,2022-04-10 19:11:19,48.148,11.7434,40.84,84,76,1.01,broken clouds
89,Brae,GB,2022-04-10 19:11:19,60.3964,-1.353,37.18,62,100,6.33,overcast clouds
90,Tasiilaq,GL,2022-04-10 19:11:19,65.6145,-37.6368,26.76,84,86,4.29,overcast clouds
91,Winnemucca,US,2022-04-10 19:11:20,40.973,-117.7357,48.25,21,0,5.75,clear sky
92,Te Anau,NZ,2022-04-10 19:11:20,-45.4167,167.7167,48.87,82,8,7.47,clear sky
93,Carnarvon,AU,2022-04-10 19:11:07,-24.8667,113.6333,64.47,82,0,9.22,clear sky
94,Codrington,AU,2022-04-10 19:12:20,-38.2667,141.9667,58.28,59,98,10.36,overcast clouds
95,Riohacha,CO,2022-04-10 19:12:21,11.5444,-72.9072,86.77,58,95,16.6,overcast clouds
96,Karratha,AU,2022-04-10 19:12:21,-20.7377,116.8463,80.46,38,1,11.23,clear sky
97,Ajaccio,FR,2022-04-10 19:07:38,42.0,8.9167,46.45,66,0,2.3,clear sky
98,Saint-Georges,GD,2022-04-10 19:12:21,12.0564,-61.7485,83.88,74,20,26.46,few clouds
99,Cape Town,ZA,2022-04-10 19:12:22,-33.9258,18.4232,73.9,67,0,7.0,clear sky
100,Vao,NC,2022-04-10 19:12:22,-22.6667,167.4833,77.31,83,97,20.8,overcast clouds
101,Torbay,CA,2022-04-10 19:12:22,47.6666,-52.7314,43.29,89,100,3.0,overcast clouds
102,Broken Hill,AU,2022-04-10 19:12:23,-31.95,141.4333,69.31,52,0,5.86,clear sky
103,Half Moon Bay,US,2022-04-10 19:12:23,37.4636,-122.4286,72.54,46,0,20.71,haze
104,Ixtapa,MX,2022-04-10 19:12:23,20.7,-105.2,79.83,74,20,13.8,few clouds
105,Bud,US,2022-04-10 19:12:24,39.447,-86.1758,63.48,41,100,14.41,overcast clouds
106,Hambantota,LK,2022-04-10 19:12:24,6.1241,81.1185,79.61,79,91,11.7,overcast clouds
107,Constitucion,CL,2022-04-10 19:12:24,-35.3333,-72.4167,58.62,69,63,8.7,broken clouds
108,Dingle,PH,2022-04-10 19:12:25,10.9995,122.6711,72.55,97,100,10.0,moderate rain
109,Wanning,CN,2022-04-10 19:12:25,18.8003,110.3967,71.33,91,29,1.45,scattered clouds
110,Miraflores,MX,2022-04-10 19:12:26,19.2167,-98.8083,75.02,29,100,3.94,overcast clouds
111,Dudinka,RU,2022-04-10 19:10:42,69.4058,86.1778,-17.45,100,98,4.83,overcast clouds
112,Sorland,NO,2022-04-10 19:12:26,67.667,12.6934,37.26,68,79,18.39,broken clouds
113,Nome,US,2022-04-10 19:12:26,64.5011,-165.4064,30.27,86,100,4.61,overcast clouds
114,Anloga,GH,2022-04-10 19:12:27,5.7947,0.8973,82.89,78,94,14.0,overcast clouds
115,Bambous Virieux,MU,2022-04-10 19:12:27,-20.3428,57.7575,77.25,88,75,10.36,light rain
116,Yafran,LY,2022-04-10 19:12:27,32.0633,12.5286,55.18,62,0,11.16,clear sky
117,Sao Filipe,CV,2022-04-10 19:12:27,14.8961,-24.4956,73.62,72,6,16.69,clear sky
118,Lagoa,PT,2022-04-10 19:12:28,39.05,-27.9833,55.76,62,60,31.54,broken clouds
119,Vani,GE,2022-04-10 19:12:28,42.0832,42.5216,58.69,58,0,4.61,clear sky
120,Arona,ES,2022-04-10 19:12:28,28.0996,-16.681,63.12,52,20,11.5,few clouds
121,Nanortalik,GL,2022-04-10 19:12:29,60.1432,-45.2371,32.38,77,100,5.68,overcast clouds
122,Sisimiut,GL,2022-04-10 19:12:29,66.9395,-53.6735,28.69,57,100,2.24,overcast clouds
123,Mount Gambier,AU,2022-04-10 19:12:29,-37.8333,140.7667,54.16,70,100,6.64,overcast clouds
124,Erenhot,CN,2022-04-10 19:12:30,43.6475,111.9767,52.48,14,100,21.45,overcast clouds
125,Tazovskiy,RU,2022-04-10 19:12:30,67.4667,78.7,13.69,96,100,9.82,overcast clouds
126,Alyangula,AU,2022-04-10 19:12:30,-13.8483,136.4192,80.96,72,42,5.35,scattered clouds
127,Port Lincoln,AU,2022-04-10 19:12:31,-34.7333,135.8667,63.23,80,100,13.98,overcast clouds
128,Vostok,RU,2022-04-10 19:12:31,46.4856,135.8833,29.28,95,100,5.14,overcast clouds
129,Girua,BR,2022-04-10 19:12:31,-28.0283,-54.3497,68.95,89,100,1.1,moderate rain
130,Awbari,LY,2022-04-10 19:12:32,26.5921,12.7805,78.82,17,0,12.08,clear sky
131,Shiraz,IR,2022-04-10 19:12:32,29.6036,52.5388,59.9,20,0,5.68,clear sky
132,Lingao,CN,2022-04-10 19:12:32,19.9103,109.6859,70.61,91,5,7.74,clear sky
133,Bulancak,TR,2022-04-10 19:12:33,40.9372,38.2291,57.02,67,0,1.14,clear sky
134,Banda Aceh,ID,2022-04-10 19:12:33,5.5577,95.3222,79.88,81,58,2.15,broken clouds
135,Willowmore,ZA,2022-04-10 19:12:33,-33.2926,23.4895,59.43,76,32,6.73,scattered clouds
136,Huarmey,PE,2022-04-10 19:12:34,-10.0681,-78.1522,73.99,76,54,11.59,broken clouds
137,Guanica,PR,2022-04-10 19:13:34,17.9716,-66.908,85.5,74,99,13.67,overcast clouds
138,Saint-Augustin,CA,2022-04-10 19:13:34,51.226,-58.6502,36.45,100,98,2.33,overcast clouds
139,Grindavik,IS,2022-04-10 19:13:35,63.8424,-22.4338,39.67,75,100,20.71,overcast clouds
140,Longyearbyen,SJ,2022-04-10 19:13:35,78.2186,15.6401,12.04,52,59,23.02,broken clouds
141,Kilindoni,TZ,2022-04-10 19:13:35,-7.9139,39.6668,83.8,71,10,12.73,clear sky
142,Someshwar,IN,2022-04-10 19:13:35,13.5,75.0667,77.34,92,93,2.84,light rain
143,Qaanaaq,GL,2022-04-10 19:13:36,77.484,-69.3632,-1.19,83,23,4.79,few clouds
144,Beatrice,US,2022-04-10 19:13:36,40.2681,-96.747,67.17,26,0,18.41,clear sky
145,Mataura,NZ,2022-04-10 19:13:36,-46.1927,168.8643,39.31,98,6,3.24,clear sky
146,Cidreira,BR,2022-04-10 19:11:15,-30.1811,-50.2056,73.4,85,100,16.51,overcast clouds
147,Mahebourg,MU,2022-04-10 19:13:37,-20.4081,57.7,77.29,88,75,10.36,broken clouds
148,Sulangan,PH,2022-04-10 19:13:37,11.1373,123.7228,77.34,95,100,27.31,heavy intensity rain
149,The Valley,AI,2022-04-10 19:13:37,18.217,-63.0578,84.06,69,20,13.8,few clouds
150,Koboko,UG,2022-04-10 19:13:38,3.4136,30.9599,74.21,46,100,3.15,overcast clouds
151,Komsomolskiy,UZ,2022-04-10 19:13:38,40.4272,71.7189,71.47,41,53,3.56,broken clouds
152,Flinders,AU,2022-04-10 19:13:38,-34.5833,150.8552,62.26,93,32,8.01,scattered clouds
153,Poum,NC,2022-04-10 19:13:39,-20.2333,164.0167,79.3,74,72,11.72,broken clouds
154,Olafsvik,IS,2022-04-10 19:13:39,64.8945,-23.7142,38.8,80,100,14.0,overcast clouds
155,Tulsipur,NP,2022-04-10 19:13:39,28.131,82.2973,74.5,27,0,5.75,clear sky
156,Verkhnyaya Inta,RU,2022-04-10 19:13:39,65.9811,60.3094,32.67,99,95,4.97,overcast clouds
157,Fortuna,US,2022-04-10 19:13:40,40.5982,-124.1573,55.92,63,75,13.8,broken clouds
158,Kropotkin,RU,2022-04-10 19:13:40,45.4375,40.5756,59.32,65,100,9.48,overcast clouds
159,Kolarovo,SK,2022-04-10 19:13:41,47.9229,17.9847,45.1,49,17,8.16,few clouds
160,Havelock,US,2022-04-10 19:13:41,34.8791,-76.9013,60.78,41,0,18.41,clear sky
161,Wairoa,NZ,2022-04-10 19:13:41,-39.0333,177.3667,46.54,96,1,3.0,clear sky
162,Ancud,CL,2022-04-10 19:13:41,-41.8697,-73.8203,54.23,70,95,6.55,overcast clouds
163,Cabo San Lucas,MX,2022-04-10 19:12:49,22.8909,-109.9124,81.05,58,0,12.66,clear sky
164,Palana,RU,2022-04-10 19:13:42,59.1167,159.9667,6.55,97,100,6.42,overcast clouds
165,Goundam,ML,2022-04-10 19:13:42,16.4145,-3.6708,93.69,9,0,8.81,clear sky
166,Souillac,MU,2022-04-10 19:13:42,-20.5167,57.5167,77.38,88,75,10.36,light rain
167,Luwuk,ID,2022-04-10 19:13:43,-0.9516,122.7875,77.65,81,93,5.55,overcast clouds
168,Kizhinga,RU,2022-04-10 19:13:43,51.8462,109.9097,26.35,84,19,7.02,few clouds
169,Elva,EE,2022-04-10 19:13:44,58.2225,26.4211,37.83,81,13,13.8,few clouds
170,Praia Da Vitoria,PT,2022-04-10 19:13:44,38.7333,-27.0667,58.75,63,90,29.28,overcast clouds
171,Riyadh,SA,2022-04-10 19:10:46,24.6877,46.7219,78.94,16,6,10.69,clear sky
172,Roald,NO,2022-04-10 19:13:44,62.5833,6.1333,40.33,60,40,17.27,scattered clouds
173,Bengkulu,ID,2022-04-10 19:13:45,-3.8004,102.2655,75.4,91,76,3.51,broken clouds
174,Ambon,ID,2022-04-10 19:13:45,-3.6954,128.1814,75.34,94,20,3.44,few clouds
175,Rio Grande,BR,2022-04-10 19:13:45,-32.035,-52.0986,78.91,78,28,18.12,scattered clouds
176,Nikolskoye,RU,2022-04-10 19:13:46,59.7035,30.7861,39.79,87,18,9.73,few clouds
177,Kavieng,PG,2022-04-10 19:13:46,-2.5744,150.7967,81.64,78,100,9.98,overcast clouds
178,Falmouth,GB,2022-04-10 19:13:46,50.1544,-5.0711,50.9,78,100,21.59,overcast clouds
179,Klaksvik,FO,2022-04-10 19:13:46,62.2266,-6.589,32.92,64,100,9.46,overcast clouds
180,Yellowknife,CA,2022-04-10 19:13:05,62.456,-114.3525,15.42,75,26,18.01,scattered clouds
181,Airai,TL,2022-04-10 19:13:47,-8.9266,125.4092,57.54,73,84,1.43,broken clouds
182,Monopoli,IT,2022-04-10 19:13:47,40.9559,17.2896,53.08,61,41,30.6,scattered clouds
183,Wajima,JP,2022-04-10 19:13:47,37.4,136.9,57.11,66,100,7.54,overcast clouds
184,Calvinia,ZA,2022-04-10 19:13:48,-31.4707,19.776,69.24,36,90,14.43,overcast clouds
185,Upernavik,GL,2022-04-10 19:14:11,72.7868,-56.1549,6.26,78,100,8.25,overcast clouds
186,Korycany,CZ,2022-04-10 19:14:48,49.1064,17.1643,39.88,63,5,4.97,clear sky
187,Mareeba,AU,2022-04-10 19:14:49,-17.0,145.4333,74.44,93,92,2.89,overcast clouds
188,Saint George,US,2022-04-10 19:12:50,37.1041,-113.5841,63.79,12,0,5.01,clear sky
189,Forio,IT,2022-04-10 19:14:49,40.7342,13.8646,57.42,60,5,5.99,clear sky
190,Anadyr,RU,2022-04-10 19:14:50,64.75,177.4833,19.49,92,100,7.2,overcast clouds
191,Khor,RU,2022-04-10 19:14:50,47.8861,134.9464,37.0,90,23,2.86,few clouds
192,Alice Springs,AU,2022-04-10 19:14:50,-23.7,133.8833,69.22,32,39,4.61,scattered clouds
193,Thompson,CA,2022-04-10 19:13:11,55.7435,-97.8558,35.76,87,75,17.27,broken clouds
194,Vaitape,PF,2022-04-10 19:14:51,-16.5167,-151.75,82.62,72,6,16.26,clear sky
195,El Dorado,US,2022-04-10 19:14:51,38.7666,-120.5177,62.62,35,13,1.99,few clouds
196,Azusa,US,2022-04-10 19:14:51,34.1336,-117.9076,76.48,64,100,8.05,overcast clouds
197,Lavrentiya,RU,2022-04-10 19:14:52,65.5833,-171.0,22.44,98,78,6.73,broken clouds
198,San Cristobal,VE,2022-04-10 19:14:52,7.7669,-72.225,78.98,39,100,7.36,overcast clouds
199,Malakal,SS,2022-04-10 19:14:52,9.5334,31.6605,90.88,32,48,0.96,scattered clouds
200,Makakilo City,US,2022-04-10 19:14:52,21.3469,-158.0858,77.32,62,100,14.97,overcast clouds
201,Kazachinskoye,RU,2022-04-10 19:14:53,57.6953,93.2761,24.76,89,97,8.72,overcast clouds
202,Pennagaram,IN,2022-04-10 19:14:53,12.1333,77.9,78.49,65,100,1.81,overcast clouds
203,Sakakah,SA,2022-04-10 19:14:53,29.9697,40.2064,73.44,17,65,8.72,broken clouds
204,Pedernales,DO,2022-04-10 19:14:54,18.0384,-71.744,82.96,63,100,3.24,overcast clouds
205,Luderitz,NA,2022-04-10 19:14:54,-26.6481,15.1594,70.43,56,0,11.45,clear sky
206,Puerto Concordia,CO,2022-04-10 19:14:54,2.6221,-72.7572,80.02,86,100,3.15,overcast clouds
207,Sao Joao Da Barra,BR,2022-04-10 19:14:55,-21.6403,-41.0511,84.29,75,26,12.82,scattered clouds
208,Zyryanka,RU,2022-04-10 19:14:55,65.75,150.85,-7.15,100,98,2.01,overcast clouds
209,Iqaluit,CA,2022-04-10 19:14:56,63.7506,-68.5145,27.7,79,100,4.0,overcast clouds
210,Camacha,PT,2022-04-10 19:14:56,33.0833,-16.3333,62.02,72,40,19.57,scattered clouds
211,Wajir,KE,2022-04-10 19:14:56,1.7471,40.0573,85.93,49,15,15.08,few clouds
212,Mandera,KE,2022-04-10 19:14:57,3.9366,41.867,93.18,29,76,4.38,broken clouds
213,Husavik,IS,2022-04-10 19:14:57,66.0449,-17.3389,32.47,82,100,4.29,overcast clouds
214,Chilliwack,CA,2022-04-10 19:14:57,49.1747,-121.9443,51.19,49,100,9.22,overcast clouds
215,Hithadhoo,MV,2022-04-10 19:14:57,-0.6,73.0833,83.84,72,28,9.8,scattered clouds
216,Castro,BR,2022-04-10 19:14:58,-24.7911,-50.0119,77.45,48,7,2.08,clear sky
217,Touros,BR,2022-04-10 19:14:58,-5.1989,-35.4608,83.88,68,100,12.46,overcast clouds
218,Meulaboh,ID,2022-04-10 19:14:58,4.1363,96.1285,77.79,86,100,1.28,overcast clouds
219,Lebu,CL,2022-04-10 19:14:59,-37.6167,-73.65,54.43,77,56,15.75,broken clouds
220,Ambilobe,MG,2022-04-10 19:14:59,-13.2,49.05,74.53,94,15,2.66,few clouds
221,Green River,US,2022-04-10 19:11:26,41.5286,-109.4662,37.18,21,89,25.52,overcast clouds
222,Nemuro,JP,2022-04-10 19:15:00,43.3236,145.575,37.11,91,100,8.03,overcast clouds
223,Labuhan,ID,2022-04-10 19:15:00,-6.8844,112.2051,77.49,86,8,6.33,clear sky
224,Marshall,US,2022-04-10 19:12:55,34.3834,-86.3333,75.25,36,0,10.36,clear sky
